N;CCAA;ÁREA TEMÁTICA;ICTS;TIPO;INSTALACIÓN;ENTIDAD TITULAR/GESTORA;CODE;COMMAPOSITION;LONGITUD;LATITUD;GEOPOSICIÓN;DIRECCIÓN;TELÉFONO;CORREO ELECTRÓNICO;WEB ICTS;WEB INSTALACIÓN;WEB MCIN;IMAGEN;ACCESO_ICTS
35;PAÍS VASCO;Ingeniería;Infraestructura Distribuida de Ingeniería Marítima y Oceánica (MARHIS);DISTRIBUIDAS;Plataforma de Energía marina de Vizcaya (BiMEP);Biscay Marine Energy Platform, S.A.;ES.PV;18; -2.89535883076243;43.43227193751144;43.43227193751144, -2.895358830762432;Calle Atalaia, 2, bajo. 48620 Armintza, Vizcaya.; 94 687 98 35;info@ictsmarhis.com;https://www.ictsmarhis.com/en;https://www.bimep.com/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Ingenieria/MARHIS/BiMEP.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ingenier-a/MARHIS-BiMEP/BIMEP_Infraestructura.jpg/jcr:content.jpg;https://www.ictsmarhis.com/en/access-program
36;MADRID;Ingeniería;Infraestructura Distribuida de Ingeniería Marítima y Oceánica (MARHIS);DISTRIBUIDAS;Centro de Experiencias Hidrodinámicas de El Pardo (CEHIPAR);Instituto Nacional de Técnica Aeroespacial (INTA);ES.MD;19; -3.778320188505713;40.524449706661066;40.524449706661066, -3.7783201885057136;Carretera de la Sierra, 28048 Madrid.;913 762 100;info@ictsmarhis.com;https://www.ictsmarhis.com/en;https://www.inta.es/ICTS-CEHIPAR/es/inicio/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Ingenieria/MARHIS/CEHIPAR.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ingenier-a/MARHIS-CEHIPAR/CEHIPAR_Instalacion2.jpg/jcr:content.jpg;https://www.ictsmarhis.com/en/access-program
37;ISLAS CANARIAS;Ingeniería;Infraestructura Integrada de Experimentación Marítima (MARHIS);DISTRIBUIDAS;Banco de ensayos de la Plataforma Oceánica de Canarias (PLOCAN);Consorcio Plataforma Oceánica de Canarias (PLOCAN);ES.CN;18; -15.3687096464285;27.99224245639438;27.99224245639438, -15.368709646428547;"Carretera de Taliarte, s/n. 35200 Telde, Gran Canaria.
";928 13 44 14;info@plocan.eu ;https://www.ictsmarhis.com/en;https://www.plocan.eu/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasMar/PLOCAN.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ingenier-a/MARHIS-PLOCAN-TS/PLOCAN_Marhis.jpg/jcr:content.jpg;https://www.ictsmarhis.com/en/access-program
38;ANDALUCÍA;Materiales;Infraestructura de aplicaciones basadas en aceleradores (IABA);DISTRIBUIDAS;Centro Nacional de Aceleradores (CNA);Centro Mixto CNA (Universidad de Sevilla, Junta de Andalucía, CSIC);ES.AN;18; -6.00317971349530;37.41037586932821;37.41037586932821, -6.003179713495301;Calle Tomás Alva Edison, 7. 41092 Sevilla.;954460553;cna@us.es;http://cna.us.es/index.php/es/;http://cna.us.es/index.php/es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/Aceleradores/CNA.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/IABA/IABA-CNA/CNA_Edificio.jpg/jcr:content.jpg;https://institucionales.us.es/solicitudescna/index.php/es/
39;MADRID;Materiales;Infraestructura de aplicaciones basadas en aceleradores (IABA);DISTRIBUIDAS;Centro de Micro-Análisis de Materiales (CMAM);"Universidad Autónoma de Madrid (UAM)
";ES.MD;19; -3.691013319190370;40.548904279252135;40.548904279252135, -3.6910133191903705;"Universidad Autónoma de Madrid. Centro de Microanálisis de Materiales
Calle Faraday, 3. 28049 Madrid.


";91 497 3621;innovation.cmam@uam.es;https://www.cmam.uam.es/es/inicio/;https://www.cmam.uam.es/es/inicio/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/Aceleradores/CMAM.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/IABA/IABA-CNAM/CMAM_Laboratorio.jpg/jcr:content.jpg;https://www.cmam.uam.es/es/usuarios/acceso-al-cmam/
40;CASTILLA Y LEÓN;Materiales;Sistemas Láser del Centro de Láseres Pulsados (CLPU);LOCALIZACIÓN ÚNICA;Centro de Láseres Pulsados (CLPU);Consorcio Centro de Láseres Pulsados (CLPU);ES.CL;18; -5.72011824560348;40.99558237117364;40.99558237117364, -5.720118245603489;"Edificio M5, Parque Científico
Calle Adaja, 8. 37185 Villamayor, Salamanca.
";923 338 121;info@clpu.es;https://www.clpu.es/;https://www.clpu.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/CLPU.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/CLPU/Centro-de-Laseres-Pulsados-Ultracortos-Ultraintensos.jpg/jcr:content.jpg;https://www.clpu.es/facilities/servicerequest/
41;MADRID;Materiales;Infraestructura Integrada de Microscopía Electrónica de Materiales (ELECMI);DISTRIBUIDAS;Centro Nacional de Microscopía Electrónica (CNME);Universidad Complutense de Madrid/ Fundación General UCM;ES.MD;18; -3.72410121734311;40.45087872134511;40.45087872134511, -3.724101217343113;"Facultad de Químicas
Avenida Complutense, s/n. 28040 Madrid.";91 394 4190;administracion@cnme.es;https://elecmi.es/;https://cnme.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/ELECMI/CNME.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/ELECMI/ELECMI_CNME/CNME_Edificio.jpg/jcr:content.jpg;https://elecmi.es/protocolo-de-acceso/
42;ARAGÓN;Materiales;Infraestructura Integrada de Microscopía Electrónica de Materiales (ELECMI);DISTRIBUIDAS;Laboratorio de Microscopías Avanzadas (LMA);Universidad de Zaragoza;ES.AR;18; -0.88798379202319;41.68465688200918;41.68465688200918, -0.8879837920231968;"Edificio I+D, Campus Río Ebro
Calle Mariano Esquillor, s/n. 50018 Zaragoza.";976 762 980;lma@unizar.es;https://elecmi.es/;https://lma.unizar.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/ELECMI/LMA.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/ELECMI/ELECMI-LMA/LMA-instalaciones.jpg/jcr:content.jpg;https://elecmi.es/protocolo-de-acceso/
43;CATALUÑA;Materiales;Infraestructura Integrada de Microscopía Electrónica de Materiales (ELECMI);DISTRIBUIDAS;Unidad de Microscopía Electrónica Aplicada a Materiales (UMEAP);Universidad de Barcelona;ES.CT;18; 2.118638696172457;41.38511057388669;41.38511057388669, 2.1186386961724573;"Centres Científics i Tecnològics ,Universitat de Barcelona
Carrer Lluís Solé i Sabaris, 1-3. 08028 Barcelona."; 934 021 695;elecmiub@ccit.ub.edu;https://elecmi.es/;http://www.ccit.ub.edu/ES/home.html;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/ELECMI/UMEAP.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/ELECMI/ELECMI-UMEAP/UMEAP_JEM2010Fs.jpg/jcr:content.jpg;https://elecmi.es/protocolo-de-acceso/
44;ANDALUCÍA;Materiales;Infraestructura Integrada de Microscopía Electrónica de Materiales (ELECMI);DISTRIBUIDAS;División de Microscopía Electrónica (DME-UCA);Universidad de Cádiz;ES.AN;18; -6.18889189477358;37.45946275981265;37.45946275981265, -6.188891894773587;"Facultad de Ciencias, Universidad de Cádiz
Campus de Puerto Real, 11510 Puerto Real, Cádiz.
";956 01 6453;dmeuca.elecmi@uca.es;https://elecmi.es/;https://www.uca.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/ELECMI/DME.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/ELECMI/ELECMI-DME/UCA_Instrumento.jpg/jcr:content.jpg;https://elecmi.es/protocolo-de-acceso/
45;COMUNIDAD VALENCIANA;Materiales;Red de Salas Blancas de Micro y Nano Fabricación (MICRONANOFABS);DISTRIBUIDAS;Infraestructura de Micro y Nano Fabricación del Centro de Tecnología Nano Fotónica (NF-CTN);Universitat Politècnica de València;ES.VC;18; -0.33798692208724;39.47835055889702;39.47835055889702, -0.33798692208724945;"Universitat Politècnica de València
Edificio 8F, Planta 2ª. Camino de Vera, s/n. 46022 Valencia.

";96 387 97 36;info-ntc@upv.es;https://micronanofabs.org/;https://ntc.webs.upv.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/MICRONANOFABS/NF-CTN.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/MICRONANOFABS/MICRONANOFABS-NF-CTN/NF-NTC_Micro.png/jcr:content.png;https://micronanofabs.org/acceso/
46;MADRID;Materiales;Red de Salas Blancas de Micro y Nano Fabricación (MICRONANOFABS);DISTRIBUIDAS;Central de Tecnología del Instituto de Sistemas Opto-electrónicos (CT-ISOM);Universidad Politécnica de Madrid;ES.MD;17; -3.7263909866578;40.4527828157929;40.4527828157929, -3.726390986657809;"ISOM, Universidad Politécnica de Madrid E. T. S. I. Telecomunicación (U. P. M.)
Edificio López Araújo, Avenida Complutense, 30. 28040 Madrid.";9106 72573;info@micronanofabs.org;https://micronanofabs.org/;http://www.isom.upm.es/inicio/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/MICRONANOFABS/CT-ISOM.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/MICRONANOFABS/MICRONANOFABS-CT-ISOM/Central-de-Tecnolog-a-del-Instituto-de-Sistemas-Opto-electr-nicos-de-la-UPM-CT-ISOM.jpg/jcr:content.jpg;https://micronanofabs.org/acceso/
47;CATALUÑA;Materiales;Red de Salas Blancas de Micro y Nano Fabricación (MICRONANOFABS);DISTRIBUIDAS;Sala Blanca Integrada de Micro y Nano Fabricación del Centro Nacional de Microelectrónica (SBCNM);Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC);ES.CT;18; 2.109971155696233;41.50227175799459;41.50227175799459, 2.109971155696233;"Campus Universitat Autònoma de Barcelona (UAB)
Carrer dels Til·lers. 08193 Cerdanyola del Vallès - Bellaterra, Barcelona.
";93 594 7700;info@imb-cnm.csic.es;https://micronanofabs.org/;https://www.imb-cnm.csic.es/es;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/MICRONANOFABS/SBCNM.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/MICRONANOFABS/MICRONANOFABS-SBCNM/SBCNM_Edificio.jpg/jcr:content.jpg;https://micronanofabs.org/acceso/
48;CATALUÑA;Materiales;Sincrotrón ALBA (ALBA);LOCALIZACIÓN ÚNICA;Sincrotrón ALBA (ALBA);Consorcio para la construcción y explotación del Laboratorio de Luz Sincotrón (CELLS);ES.CT;18; 2.110702684531499;41.48630105894919;41.48630105894919, 2.1107026845314993;Carrer de la Llum 2-26. 08290 Cerdanyola del Vallès, Barcelona.;93 592 43 00/01;https://www.cells.es/es/contact-info;https://www.cells.es/es;https://www.cells.es/es;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/Materiales/ALBA.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Materiales/SincrotonALBA/ALBA_N2_interior/jcr:content.jpg;https://www.cells.es/en/users/applying-for-beam-time
49;MADRID;Tecnologías de la información y las comunicaciones;RedIRIS;RED DE ICTS;Red Académica y de Investigación Española (RedIRIS);Ministerio de Ciencia e Innovación (Entidad Pública Empresarial Red.es);ES.MD;17; -3.6940751154936;40.4480121589323;40.4480121589323, -3.6940751154936016;Edificio Bronce. Plaza Manuel Gómez Moreno, s/n, 2ª planta. 28020 Madrid.;91 212 76 20 /25;https://www.rediris.es/ayuda/contact.php?contact=web;https://www.rediris.es/;https://www.rediris.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RedIRIS.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RedIRIS/RedIRIS_images.png/jcr:content.jpg;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RedIRIS.html
50;CATALUÑA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - MareNostrum y MinoTauro;"Barcelona Supercomputing Center - Centro Nacional de Supercomputación (BSC-CNS Barcelona)
";ES.CT;18; 2.115409084529140;41.39012930736616;41.39012930736616, 2.1154090845291407;"Barcelona Supercomputing Center. Carrer Jordi Girona, 31. 08034 Barcelona.
";93 413 77 16;support@bsc.es;https://www.res.es/;https://www.bsc.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/MareNostrum_MinoTauro.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-MareNostrum-y-MinoTauro/BSC_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
51;ISLAS CANARIAS;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - La Palma ;Instituto Astrofísico de Canarias (IAC);ES.CN;18; -16.3089257734067;28.47463974223977;28.47463974223977, -16.308925773406756;Calle Vía Láctea, s/n. 38205 La Laguna, Tenerife.;922 605 200; res_support@iac.es;https://www.res.es/;https://www.res.es/es/nodos-de-la-res/lapalma;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/La-Palma.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES---La-Palma-en-el-Instituto-Astrof-sico-de-Canarias--IAC-/IAC_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
52;CANTABRIA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Altamira ;Universidad de Cantabria (UC);ES.CB;18; -3.80225239267777;43.47165112367766;43.47165112367766, -3.8022523926777723;"Edificio Juan Jordá
Avenida de los Castros, s/n. 39005 Santander.";;res_support@ifca.unican.es;https://www.res.es/;https://ifca.unican.es/en-us;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Altamira.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Altamira/UC_logo.png/jcr:content.png;https://www.res.es/es/acceso-a-la-res
53;COMUNIDAD VALENCIANA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Tirant ; Universidad de Valencia (UV);ES.VC;19; -0.420037917172670;39.507324220619545;39.507324220619545, -0.42003791717267086;"Campus de Burjassot 
Calle Dr. Moliner, 50. 46100 Burjassot, Valencia.

 ";96 354 43 10 ;res_support@uv.es;https://www.res.es/;https://www.uv.es/uvweb/servei-informatica/ca/serveis/investigacio/xarxa-espanyola-supercomputacio-1285890289292.html;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Tirant.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Tirant/TIRANT_Image.png/jcr:content.png;https://www.res.es/es/acceso-a-la-res
54;ANDALUCÍA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Picasso;Universidad de Málaga (UMA);ES.AN;18; -4.55531524256407;36.73853002530627;36.73853002530627, -4.555315242564076;"
Parque Tecnológico de Andalucía, Edificio de Bioinnovación
Calle Severo Ochoa, 34. 29590 Málaga.

";951 952 790;res_support@res.uma.es;https://www.res.es/;https://www.scbi.uma.es/site/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Picasso.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Picasso/UMA_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
55;ARAGÓN;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES)- Caesaraugusta ; Universidad de Zaragoza (UNIZAR);ES.AR;19; -0.886991230806280;41.684748065819825;41.684748065819825, -0.8869912308062805;"Instituto de Biocomputación y Física de Sistemas Complejos (BIFI)
Mariano Esquillor, Edificio I + D
Campus Río Ebro.
50018 Zaragoza.";976762989;res_support@bifi.es;https://www.res.es/;https://www.bifi.es/es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Caesaraugusta.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Caesaraugusta/CESAR_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
56;CASTILLA Y LEÓN;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Caléndula ;Fundación Centro de Supercomputación de Castilla y León (SCAYLE);ES.CL;19; -5.558270923111923;42.611143268057084;42.611143268057084, -5.558270923111923;"Universidad de León. Edificio CRAI-TIC
Campus de Vegazana s/n. 24007 León.";987 293 160;res_support@scayle.es;https://www.res.es/;https://www.scayle.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Calendula.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Calendula/CALENDULA_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
57;MADRID;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Cibeles ;Universidad Autónoma de Madrid (UAM);ES.MD;18; -3.69631742450567;40.54717921047251;40.54717921047251, -3.696317424505676;"Centro de Computación Científica
Universidad Autónoma de Madrid
Ciudad Universitaria de Cantoblanco.
28049 Madrid.";;res_support@uam.es;https://www.res.es/;https://www.ccc.uam.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Cibeles.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Cibeles/CIBELES_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
58;EXTREMADURA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Lusitania ;Fundación Computación y Tecnologías Avanzadas de Extremadura (COMPUTAEX);ES.EX;18; -6.32941068668087;39.47472147578559;39.47472147578559, -6.329410686680877;Carretera Nacional 521, Km 41,8. 10071 Cáceres.;927 049 070;https://www.cenits.es/contacto;https://www.res.es/;https://www.cenits.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Lusitania.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Lusitania/LUSITANIA_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
59;GALICIA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Finis Terrae ;Fundación Centro Tecnológico de Sdupercomputación de Galicia (CESGA);ES.GA;18; -8.55318150194093;42.87595615140628;42.87595615140628, -8.553181501940935;"Avenida de Vigo, s/n. 15705 Santiago de Compostela.
"; 981 56 98 10;info@cesga.gal;https://www.res.es/;https://www.cesga.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/FinisTerrae.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-FinisTerrae/Finisterrae3_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
60;CATALUÑA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Pirineus;Consorci de Serveis Universitaris de Catalunya (CSUC);ES.CT;18; 2.111841269186439;41.38747591736124;41.38747591736124, 2.1118412691864394;Edifici Nexus. Carrer del Gran Capità, 2. 08034 Barcelona.;93 205 6464;https://www.csuc.cat/es/contacta;https://www.res.es/;https://www.csuc.cat/es;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Pirineus.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-Pineus/Pineus_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
61;NAVARRA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Urederra ;Gobierno de Navarre (NASERTIC);ES.NA;19; -1.659907459613721;42.818009244568394;42.818009244568394, -1.6599074596137218;"Calle Orkoien, s/n. 31011 Pamplona.
";848 420 500; info@nasertic.es;https://www.res.es/;https://hpc.nasertic.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Urederra.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES_Urederra/UREDERRA_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
62;MADRID;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - Xula y Turgalium ;Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT);ES.MD;18; -3.72883024432909;40.45435353890083;40.45435353890083, -3.728830244329091;Avenida Complutense, 40. 28040 Madrid.;; res_support@ciemat.es;https://www.res.es/;https://www.ciemat.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/Xula_Turgalium.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-XulaTurgalium/XulaTurgalium_Image.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
63;CATALUÑA;Tecnologías de la información y las comunicaciones;Red e-Ciencia;RED DE ICTS;Red Española de Supercomputación (RES) - PIC ;"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas. Institut de Física 
d'Altes Energies (CIEMAT-IFAE)";ES.CT;19; 2.1039286998745226;41.502367063166105;41.502367063166105, 2.1039286998745226;Campus UAB. Carrer de l'Albareda Edifici D. 08193 Bellaterra, Cerdanyola del Vallès, Barcelona.;93 581 41 09;res-support@pic.es.;https://www.res.es/;https://www.pic.es/pic-included-in-the-updated-icts-map/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/TecnologiasCiencia/RES/PIC.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Tecnolog-as-de-la-Informaci-n-y-las-Comunicaciones/RES/RES-PIC/PIC_Logo.jpg/jcr:content.jpg;https://www.res.es/es/acceso-a-la-res
64;ANDALUCÍA;Astronomía;Red de Infraestructuras de Astronomía (RIA);RED DE ICTS;Observatorio Astronómico de Calar Alto (CAHA);Centro Astronómico Hispano en Andalucía, A.I.E.;ES.AN;10; -2.547055;37.221321;37.221321, -2.547055;"
Sierra de los Filabres. 04550 Gérgal, Almería.";95 063 25 00;info@caha.es;http://www.caha.es/;http://www.caha.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/AstronomiaAstrofisica/CAHA.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Astronom-a-y-Astrof-sica/CAHA/CAHA_N2_interior/jcr:content.jpg;http://www.caha.es/es/acceso-y-servicios/protocolos-de-accesos-y-comites
65;CASTILLA - LA MANCHA ;Astronomía;Red de Infraestructuras de Astronomía (RIA);RED DE ICTS;Observatorio de Yebes (OY);Ministerio de Fomento, DG del Instituto Geográfico Nacional (IGN);ES.CM;18; -3.08852115597083;40.52469605036593;40.52469605036593, -3.08852115597083;Cerro del Palera, s/n. 19141 Yebes, Guadalajara.;949 290 311;info_yebes@oan.es;https://astronomia.ign.es/web/guest/icts-yebes/acercade;https://astronomia.ign.es/web/guest/icts-yebes/acercade;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/AstronomiaAstrofisica/YEBES.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Astronom-a-y-Astrof-sica/YEBES/YEBES_N2_interior/jcr:content.jpg;https://astronomia.ign.es/web/guest/icts-yebes/servicios-cientificos
